subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
math,34,2005,2025,20,0.3,0.7,"big, log_log, liminf, bigr, bigl, frac12, frac, sup, leq, brownian_motion","big, frac, mathbb, bigg, leq, mathbf_mathbf, vert, int, mathbb_mathbb, infty"
math,35,2000,2025,26,0.1,0.9,"quasi_geostrophic, codim, stochastic, supp, phase_portrait, motion, convergence, invariant, dot_dot, measure","stochastic, diffusion, differential, noise, nonlinear, pde, linear, sde, fractional, coefficient"
math,36,2000,2025,26,0.6,0.4,"knot, invariant, link, vassiliev, homology, manifold, unknot, sphere, legendrian_knot, diagram","knot, link, invariant, homology, surface, manifold, mathbf, surgery, genus, diagram"
math,37,2001,2025,19,0.1,0.9,"infty, subfactor, mathbb, radulescu, irreducible, cup, index, cos, geq, factor","infty, paraboloid, cap, mathcal, frac, leq, navi_stoke, onsager, mathbb_mathbb, projektor"
math,38,2000,2025,26,0.4,0.6,"graph, chromatic, hamilton, vertex, circuit, cardinal_kappa, tree, theta, zeta_function, foata","graph, vertex, edge, tree, degree, chromatic, cycle, subgraph, digraph, set"
math,39,2000,2025,26,0.1,0.9,"tba, diffuse, qtm, star, boson_fermion, osp, bethe_ansatz, field, dilatonic, disorder","server, field, customer, queue, service, temperature, mean, spin, arrival, phase"
math,40,2000,2025,26,0.6,0.4,"energy, steady, wave, boundary, velocity, flow, periodic, temperate, particle, fluid","wave, fluid, flow, energy, stability, boundary, velocity, dynamic, nonlinear, phase"
math,41,2000,2025,26,0.7,0.3,"space, set, cardinal, metric, aleph, map, idgba, property, compact, function","space, set, metric, map, property, function, subset, compact, point, topological"
math,42,2000,2025,26,0.3,0.7,"precsim, approx0, diffeomorphism, growth, polynomial, set, point, bound, spectral_gap, periodic","bound, eigenvalue, point, dimension, set, constant, distance, function, estimate, interval"
math,43,2000,2025,26,0.2,0.8,"jonsson, hexagon, matrix, symmetric, sign, symmetry, basis, hilbert_space, specie, group","parking, symmetric, function, basis, schur, tableaux, shape, skew, combinatorial, peak"
math,44,2000,2025,26,0.2,0.8,"peg, peg_solitaire, prelle_singer, player, game, duotaire, elfs, maplev, ravikumar, package","algorithm, game, optimization, player, solver, strategy, network, efficient, complexity, linear"
math,45,2000,2025,26,0.3,0.7,"flipturn, polytope, polygon, dissection, arrangement, matroid, fan, triangulation, plane, toric_variety","matroid, set, lattice, polytope, point, poset, family, graph, tiling, plane"
math,46,2004,2025,11,0.1,0.9,"codim, underset, mid, longrightarrow, semigroup, asymptotical, subspace, infty, forall, condition","curvearrowright, forall, colon, rtimes, inftycd, mathbb, subseteq, cdot, property, iff"
math,47,2000,2025,26,0.4,0.6,"module, algebra, mathfrak, affine, yangian, root, crystal, ggs, representation, belavin","mathfrak, module, mathfrak_mathfrak, algebra, affine, weight, mathsf, type, mathcal, vertex"
math,48,2003,2025,21,0.2,0.8,"fht, supp, terence_tao, supp_supp, leq, uncertainty, inequality, geq, let, abelian","binom, hypergraph, frac, leq, ramsey, geq, tournament, sum, rainbow, mathcal"
math,49,2000,2025,26,0.6,0.4,"domain, boundary, inequality, operator, isophasal, dirichlet, integral, singularity, function, space","domain, function, space, inequality, operator, boundary, estimate, type, fractional, sobolev"
