subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
math,2001,2002,6,4,"[7, 10, 27, 44]","[0.6, 0.6, 0.7, 0.6]","group, algebra, function, theory, operator, class, finite, property, manifold, non"
math,2001,2002,21,6,"[8, 16, 18, 28, 31, 38]","[0.8, 0.8, 0.7, 0.7, 0.6, 0.7]","space, function, algebra, structure, manifold, dimensional, module, group, theory, type"
math,2001,2002,5,3,"[13, 24, 49]","[0.6, 0.7, 0.7]","space, group, product, function, representation, manifold, operator, polynomial, theory, class"
math,2001,2002,30,5,"[15, 17, 19, 33, 34]","[0.8, 0.7, 0.6, 0.9, 0.7]","group, algebra, theory, class, space, type, function, structure, finite, manifold"
math,2001,2002,10,3,"[20, 32, 40]","[0.6, 0.6, 0.6]","theory, algebra, group, space, structure, quantum, measure, manifold, operator, finite"
math,2001,2002,12,2,"[36, 39]","[0.7, 0.6]","algebra, class, polynomial, group, structure, operator, invariant, dimensional, local, theory"
math,2002,2003,4,4,"[0, 11, 18, 33]","[0.7, 0.6, 0.7, 0.6]","algebra, space, theory, field, manifold, type, point, set, polynomial, non"
math,2002,2003,9,3,"[1, 34, 47]","[0.7, 0.7, 0.7]","manifold, space, function, class, polynomial, formula, algebra, theory, theorem, invariant"
math,2002,2003,17,4,"[2, 19, 27, 32]","[0.7, 0.6, 0.6, 0.6]","algebra, function, theory, type, theorem, dimensional, space, operator, point, set"
math,2002,2003,29,2,"[3, 5]","[0.6, 0.7]","space, theory, function, point, polynomial, invariant, operator, set, class, manifold"
math,2002,2003,36,4,"[4, 8, 21, 30]","[0.7, 0.7, 0.7, 0.8]","algebra, space, function, non, field, theory, manifold, finite, structure, type"
math,2002,2003,46,2,"[6, 49]","[0.7, 0.8]","space, class, algebra, function, manifold, operator, theory, point, field, non"
math,2002,2003,10,3,"[10, 17, 20]","[0.6, 0.7, 0.6]","space, structure, theory, manifold, class, finite, operator, compact, point, polynomial"
math,2002,2003,13,6,"[13, 14, 26, 40, 42, 45]","[0.7, 0.7, 0.6, 0.8, 0.6, 0.7]","space, function, theory, manifold, operator, theorem, algebra, type, property, certain"
