subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,logic,decaying,9,11,2000,26,42.3,200,18.18,"[46, 21, 41, 28, 29, 13, 10, 4, 2, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█████████··█·█············
cs,program,decaying,6,20,2000,26,76.9,156,7.8,"[38, 30, 31, 25, 11, 2, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 6, 1, 1, 0, 1, 1, 1, 1]",██████····██████·████·████
cs,algorithm,decaying,26,26,2000,26,100.0,471,18.12,"[49, 45, 48, 44, 49, 50, 48, 43, 1, 1, 1, 1, 3, 6, 5, 6, 6, 7, 10, 13, 12, 7, 7, 4, 3, 2]",██████████████████████████
cs,quantum,decaying,8,17,2000,26,65.4,99,5.82,"[4, 10, 8, 13, 28, 20, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 3, 1, 1, 1, 1, 1]",████████···█··█····███████
cs,theory,decaying,26,26,2000,26,100.0,141,5.42,"[20, 7, 19, 7, 15, 3, 10, 1, 6, 3, 6, 7, 3, 5, 1, 3, 5, 4, 4, 1, 2, 2, 2, 2, 2, 1]",██████████████████████████
cs,programming,decaying,5,10,2000,26,38.5,37,3.7,"[9, 9, 9, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",█████·█·······█········███
cs,code,decaying,26,26,2000,26,100.0,371,14.27,"[2, 2, 7, 14, 9, 44, 41, 48, 44, 14, 23, 21, 29, 26, 25, 11, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",██████████████████████████
cs,rule,decaying,5,10,2021,26,38.5,44,4.4,"[25, 6, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",███·█···········█····█████
cs,complexity,decaying,26,26,2000,26,100.0,235,9.04,"[6, 5, 12, 8, 10, 15, 15, 12, 18, 8, 9, 10, 2, 17, 20, 23, 18, 14, 3, 3, 1, 1, 1, 1, 2, 1]",██████████████████████████
cs,constraint,decaying,26,26,2000,26,100.0,121,4.65,"[15, 16, 5, 1, 12, 2, 3, 1, 3, 8, 3, 6, 1, 1, 4, 6, 8, 13, 2, 2, 1, 4, 1, 1, 1, 1]",██████████████████████████
cs,polynomial,decaying,4,10,2007,26,38.5,28,2.8,"[0, 0, 2, 4, 1, 0, 0, 4, 7, 4, 3, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",··███··████··█··██········
cs,set,decaying,26,26,2000,26,100.0,303,11.65,"[29, 11, 23, 14, 14, 15, 31, 16, 17, 21, 23, 36, 34, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2]",██████████████████████████
cs,protocol,decaying,13,19,2002,26,73.1,51,2.68,"[0, 0, 2, 1, 4, 2, 3, 3, 4, 5, 8, 7, 1, 3, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",··█████████████·····██████
cs,computer,decaying,3,5,2000,26,19.2,13,2.6,"[3, 7, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",███·█····█················
cs,grid,decaying,2,2,2003,26,7.7,23,11.5,"[0, 0, 0, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",···██·····················
cs,proof,decaying,2,5,2008,26,19.2,9,1.8,"[4, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",█·█·····██···············█
cs,information,decaying,26,26,2000,26,100.0,424,16.31,"[33, 41, 24, 41, 39, 38, 32, 30, 27, 42, 39, 1, 2, 2, 1, 1, 1, 2, 2, 4, 6, 4, 4, 2, 3, 3]",██████████████████████████
cs,finite,decaying,3,6,2009,26,23.1,11,1.83,"[0, 2, 0, 0, 0, 0, 0, 3, 0, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·█·····█·███····█·········
cs,function,decaying,26,26,2000,26,100.0,354,13.62,"[22, 10, 12, 16, 15, 27, 24, 18, 32, 20, 30, 33, 31, 30, 1, 3, 4, 6, 2, 2, 2, 3, 4, 3, 2, 2]",██████████████████████████
cs,database,decaying,4,5,2000,26,19.2,11,2.2,"[2, 1, 3, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",████·······█··············
