subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,present,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,field,stable,26,26,2000,26,100.0,70,2.69,"[1, 3, 2, 1, 1, 1, 1, 3, 1, 3, 2, 5, 1, 2, 4, 3, 6, 6, 2, 2, 3, 4, 4, 5, 1, 3]",██████████████████████████
physics,physics,stable,4,12,2019,26,46.2,14,1.17,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1]",·█···██·█·██·······████·██
physics,experimental,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,order,stable,1,3,2002,26,11.5,3,1.0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··█···█········█··········
physics,method,stable,14,19,2012,26,73.1,36,1.89,"[2, 1, 3, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 3, 1, 1, 2, 2, 3, 2, 2, 1, 2, 1, 3, 1]",███··█····█·██████████████
physics,electron,stable,26,26,2000,26,100.0,130,5.0,"[2, 1, 2, 2, 3, 4, 3, 4, 6, 4, 6, 4, 5, 4, 6, 7, 5, 9, 5, 4, 4, 8, 9, 8, 6, 9]",██████████████████████████
physics,density,stable,16,20,2010,26,76.9,42,2.1,"[0, 2, 0, 0, 0, 1, 2, 0, 1, 0, 2, 3, 3, 4, 3, 1, 2, 2, 2, 3, 2, 2, 1, 3, 2, 1]",·█···██·█·████████████████
physics,theory,decaying,15,21,2011,26,80.8,34,1.62,"[0, 1, 0, 1, 1, 1, 3, 0, 0, 1, 0, 1, 2, 1, 2, 2, 1, 3, 2, 3, 2, 1, 1, 2, 2, 1]",·█·████··█·███████████████
physics,relativistic,decaying,17,22,2009,26,84.6,39,1.77,"[0, 1, 0, 2, 1, 0, 3, 1, 0, 1, 1, 4, 1, 1, 2, 1, 3, 1, 2, 3, 1, 1, 1, 2, 5, 1]",·█·██·██·█████████████████
physics,relativity,decaying,14,25,2000,26,96.2,37,1.48,"[1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 2]",██████████████·███████████
physics,beam,decaying,20,25,2006,26,96.2,82,3.28,"[3, 2, 1, 1, 1, 0, 4, 2, 4, 3, 3, 3, 3, 4, 4, 2, 3, 3, 4, 4, 4, 5, 6, 4, 5, 4]",█████·████████████████████
physics,shown,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,atoms,decaying,26,26,2000,26,100.0,107,4.12,"[3, 4, 6, 5, 3, 1, 4, 3, 4, 6, 4, 3, 5, 5, 2, 5, 6, 4, 4, 2, 6, 3, 6, 4, 6, 3]",██████████████████████████
physics,discussed,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,equation,decaying,2,4,2001,26,15.4,5,1.25,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",·██······█··········█·····
physics,equations,decaying,2,3,2001,26,11.5,4,1.33,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·██·······█···············
physics,clusters,decaying,12,14,2000,26,53.8,20,1.43,"[2, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",████████████·█·█··········
physics,presented,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,gravitational,decaying,4,13,2000,26,50.0,13,1.0,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",████·█··██·█···██···█···██
physics,einstein,decaying,5,17,2003,26,65.4,24,1.41,"[0, 2, 0, 1, 2, 2, 2, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 2, 0, 1]",·█·█████·█·█████··███··█·█
physics,law,decaying,1,5,2004,26,19.2,5,1.0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",····█·█··█·█···········█··
physics,atom,decaying,13,24,2001,26,92.3,46,1.92,"[0, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 3, 4, 0, 2, 2, 1, 3, 4, 1, 2, 1, 2, 1, 1]",·█████████████·███████████
physics,radiation,decaying,2,6,2013,26,23.1,6,1.0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█···█·█····█·██···········
physics,electromagnetic,decaying,2,7,2005,26,26.9,7,1.0,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",·····██·█···█···██·····█··
physics,motion,decaying,1,1,2004,26,3.8,1,1.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",····█·····················
physics,special,decaying,6,19,2015,26,73.1,19,1.0,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",███··█████·█·█·██████··███
physics,lorentz,decaying,5,18,2004,26,69.2,19,1.06,"[0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1]",·██·█████·█████·███··██··█
