subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,design,stable,4,13,2022,26,50.0,15,1.15,"[0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",····█·██····███···███·████
cs,knowledge,stable,7,12,2017,26,46.2,17,1.42,"[0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 0, 0]",··█···█·██·····█·███████··
cs,space,stable,4,12,2014,26,46.2,12,1.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",······█··█·█··████··█·████
cs,distribution,stable,7,18,2019,26,69.2,25,1.39,"[0, 0, 2, 2, 1, 3, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1]",··█████··███··██·█·███████
cs,communication,stable,7,17,2019,26,65.4,23,1.35,"[1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 1, 2, 1]",█··████·█··███·█···███████
cs,control,stable,15,19,2011,26,73.1,40,2.11,"[0, 3, 0, 0, 2, 1, 0, 0, 3, 0, 0, 1, 2, 2, 1, 1, 2, 2, 1, 3, 2, 3, 3, 3, 2, 3]",·█··██··█··███████████████
cs,rate,stable,10,15,2005,26,57.7,22,1.47,"[0, 0, 0, 0, 0, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0]",·····██████████··███·██···
cs,language,stable,12,23,2014,26,88.5,63,2.74,"[2, 2, 1, 2, 3, 0, 2, 1, 1, 1, 0, 2, 1, 0, 3, 2, 3, 3, 2, 2, 3, 3, 3, 5, 7, 9]",█████·████·██·████████████
cs,machine,stable,7,10,2018,26,38.5,11,1.1,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 0]",·█··█·········█···███████·
cs,key,stable,7,17,2019,26,65.4,18,1.06,"[0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",···███····████·███·███████
cs,error,stable,9,16,2017,26,61.5,23,1.44,"[1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 2, 0, 2, 0, 2, 2, 2, 1, 1, 1, 2, 1, 1]",█······██·██·█·█·█████████
cs,source,stable,6,16,2004,26,61.5,17,1.06,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 1, 1]",····██████·█·██·█·████··██
cs,environment,stable,2,6,2012,26,23.1,7,1.17,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",····█··█····██···█·█······
cs,game,stable,16,22,2010,26,84.6,23,1.05,"[0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",··████·██·████████████████
cs,optimal,stable,13,21,2013,26,80.8,43,2.05,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 0, 2, 3, 2, 2, 1, 4, 2, 2, 3, 3, 3, 3, 3]",··█··███████·█████████████
cs,strategy,stable,1,1,2009,26,3.8,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·········█················
cs,node,stable,9,13,2017,26,50.0,15,1.15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1]",··········█··███·█████████
cs,local,stable,1,2,2022,26,7.7,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",······················█·█·
cs,logic,decaying,26,26,2000,26,100.0,58,2.23,"[2, 2, 3, 2, 4, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",██████████████████████████
cs,program,decaying,5,10,2015,26,38.5,12,1.2,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0]",███··█······█··█████······
cs,algorithm,decaying,26,26,2000,26,100.0,96,3.69,"[2, 2, 3, 2, 2, 6, 3, 4, 2, 2, 2, 3, 3, 7, 5, 5, 3, 6, 4, 3, 6, 5, 3, 4, 4, 5]",██████████████████████████
cs,quantum,decaying,26,26,2000,26,100.0,56,2.15,"[5, 5, 4, 3, 3, 4, 1, 1, 2, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 2, 2, 1, 3, 2]",██████████████████████████
cs,theory,decaying,11,19,2015,26,73.1,23,1.21,"[0, 1, 2, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",·██·███··█··██·███████████
cs,programming,decaying,9,18,2000,26,69.2,27,1.5,"[2, 3, 2, 1, 3, 2, 1, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0]",█████████··█████·██·██····
cs,code,decaying,21,24,2005,26,92.3,41,1.71,"[1, 0, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",█·██·█████████████████████
cs,rule,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
cs,complexity,decaying,4,17,2008,26,65.4,23,1.35,"[1, 2, 1, 0, 3, 2, 1, 0, 2, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",███·███·████·██·██·█··█·█·
cs,constraint,decaying,1,3,2001,26,11.5,4,1.33,"[0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·█··█·█···················
cs,polynomial,decaying,6,19,2006,26,73.1,23,1.21,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 2, 0, 1, 1, 1]",█·██··██████·█·███·███·███
cs,set,decaying,5,16,2010,26,61.5,28,1.75,"[1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 3, 3, 3, 0, 1, 2, 1, 2, 0, 2, 1, 1, 0, 0]",██····██··█████·████·███··
cs,protocol,decaying,7,11,2008,26,42.3,14,1.27,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",█····█··███████·█···█·····
cs,computer,decaying,2,5,2001,26,19.2,6,1.2,"[0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·██····█·██···············
cs,grid,decaying,7,9,2001,26,34.6,16,1.78,"[0, 2, 1, 3, 2, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",·███████··········█····█··
cs,proof,decaying,2,5,2017,26,19.2,5,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",········█········██··█···█
cs,information,decaying,23,25,2000,26,96.2,71,2.84,"[1, 2, 1, 4, 3, 4, 1, 3, 2, 2, 3, 4, 3, 6, 1, 4, 2, 3, 3, 2, 5, 4, 2, 0, 3, 3]",███████████████████████·██
cs,finite,decaying,22,25,2004,26,96.2,30,1.2,"[1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2]",███·██████████████████████
cs,function,decaying,2,7,2013,26,26.9,10,1.43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 2]",·············██··█··█·█·██
cs,database,decaying,3,6,2001,26,23.1,9,1.5,"[0, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",·███············██·····█··
