subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,manifold,decaying,26,26,2000,26,100.0,43,1.65,"[2, 1, 3, 2, 2, 1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1]",██████████████████████████
math,quantum,decaying,26,26,2000,26,100.0,36,1.38,"[3, 1, 3, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",██████████████████████████
math,invariant,decaying,1,4,2000,26,15.4,4,1.0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",█·█··············█···█····
math,theory,decaying,26,26,2000,26,100.0,86,3.31,"[3, 3, 2, 2, 4, 2, 2, 4, 2, 4, 3, 3, 5, 3, 3, 3, 3, 4, 3, 5, 4, 4, 3, 4, 4, 4]",██████████████████████████
math,cohomology,decaying,17,24,2000,26,92.3,29,1.21,"[2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1]",█████████████████·█·██████
math,representation,decaying,2,6,2013,26,23.1,6,1.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·█·····█·█···██·█·········
math,structure,decaying,3,7,2016,26,26.9,7,1.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",·····█···█···█··███··█····
math,curve,decaying,16,24,2004,26,92.3,25,1.04,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",███·████████████████·█████
math,algebraic,decaying,2,6,2004,26,23.1,8,1.33,"[2, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█·█·██·██·················
math,module,decaying,5,6,2001,26,23.1,9,1.5,"[0, 1, 1, 2, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·█████·█··················
math,surface,decaying,1,2,2003,26,7.7,3,1.5,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",···█····█·················
math,geometry,decaying,3,5,2004,26,19.2,6,1.2,"[1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█·█·███···················
math,theorem,decaying,25,25,2001,26,96.2,43,1.72,"[0, 1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",·█████████████████████████
math,symplectic,decaying,15,24,2011,26,92.3,24,1.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",█·████████·███████████████
math,algebras,decaying,26,26,2000,26,100.0,73,2.81,"[4, 3, 5, 3, 3, 2, 4, 4, 5, 2, 4, 3, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]",██████████████████████████
math,action,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,deformation,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,projective,decaying,26,26,2000,26,100.0,26,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",██████████████████████████
